"ISO.Code","Country.Name","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5"
"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.5975,329.9885,324.5931,319.2817,313.9188,308.7236,303.4972,298.2083,292.8707,287.4181,282.0364,276.5025,270.852,265.3608,259.6203,253.6321,247.8142,241.7202,235.7758,229.4716,223.1634,216.7795,210.567,204.1685,197.9248,191.6945,185.3291,179.1848,173.0575,167.0766,161.3707,155.8992,150.6595,145.7285,140.9681,136.5404,132.3534,128.2746,124.2258,120.2314,116.1581,112.0129,107.8934,103.7168,99.5494,95.4295,91.3945,87.4669,83.708,80.0409,76.454,73.0272,69.7807,66.7297,63.8657,61.2524,58.8381,56.5661
"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8602,84.0903,76.8823,70.4574,64.5564,59.2606,54.5971,50.4898,46.9385,43.8158,41.1834,38.8991,37.0167,35.3789,33.9829,32.7473,31.5355,30.3569,29.1322,27.9419,26.6549,25.3907,24.1058,22.8076,21.5047,20.1684,18.8306,17.5252,16.2754,15.0752,13.9543,12.8929,11.8556,10.9183,10.0956,9.4483,9.0018,8.7436,8.604,8.6103,8.7082,8.8476
"DZA","Algeria",NA,NA,NA,NA,239.2904,238.4526,238.2803,237.9271,237.5705,237.276,237.5232,238.189,239.112,240.1947,241.6391,242.5483,243.7769,243.9919,243.3795,241.2843,237.7109,232.5874,226.2364,219.0377,210.6096,201.4102,191.7679,181.6582,171.1551,159.8643,146.9827,132.1719,115.4727,98.2671,82.3705,69.25,59.9044,53.7112,49.4974,46.8751,45.1976,43.9888,42.9138,41.9306,40.8702,39.7775,38.7169,37.8596,37.1693,36.9276,36.6523,35.9718,34.7811,33.9773,32.8599,31.5406,30.318,29.091,28.0496,26.7986,25.9057,25.2212,24.754,24.4163,24.0427,23.7164,23.3106,22.8082,22.3297,21.8138
"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2961,13.5596,12.9147,12.1715,11.5421,10.9842,10.4239,9.8885,9.416,8.9703,8.509,8.104,7.7375,7.3522,6.9819,6.6418,6.3642,6.0831,5.765,5.503,5.2828,5.0225,4.7795,4.5451,4.3059,4.0852,3.8504,3.6869,3.4971,3.309,3.1472,3.0001,2.8816,2.7478,2.646
"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.2602,222.6621,219.9735,217.3531,215.3626,213.7929,212.6165,211.8021,211.1199,210.6465,210.3773,210.2715,210.3815,210.3597,209.9464,209.0548,207.5095,204.8644,201.5863,197.364,192.2845,186.3715,179.8194,172.4194,164.1896,155.4399,146.4789,137.4877,128.5883,120.0268,112.0924,104.5299,97.6173,91.4093,85.9629,81.4756,77.8083,74.5311,71.4002,68.7266
"ATG","Antigua and Barbuda",115.2249,112.8198,110.3259,107.5746,104.6786,101.6609,98.4617,95.2535,91.6186,87.2806,82.1654,76.2919,70.0489,63.5857,57.2003,51.0899,45.4425,40.4735,36.1323,32.4111,29.3049,26.7431,24.6658,22.9928,21.4884,20.1627,18.9736,17.8136,16.7248,15.7336,14.8717,14.1339,13.5172,13.0198,12.6934,12.4738,12.3558,12.3304,12.3922,12.5344,12.7258,12.9724,13.2939,13.618,13.9149,14.1753,14.3742,14.4515,14.4179,14.2612,14.0011,13.6458,13.2258,12.7423,12.2243,11.708,11.1706,10.6552,10.1316,9.6333,9.1279,8.6611,8.2029,7.8055,7.4281,7.0904,6.819,6.545,6.2933,6.0697
"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6025,67.889,66.7775,65.5129,63.9083,61.7521,58.944,55.4625,51.3985,46.9772,42.4674,38.6202,35.433,32.6617,30.321,28.6829,27.3104,26.428,25.9216,25.7018,25.7133,25.5503,25.1296,24.4855,23.5436,22.4721,21.4812,20.4977,19.6554,18.8103,18.1372,17.4987,16.961,16.4327,15.8724,15.3037,14.7826,14.384,14.0467,13.7277,13.3647,12.9428,12.4765,11.9454,11.4088,10.8484,10.3076,9.7514,9.223,8.6419,8.2167
"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.2113,75.8763,72.7071,69.6554,66.7923,63.9994,61.3673,58.9,56.4757,54.1746,52.0197,49.9155,75.4689,45.8573,43.966,42.0074,40.0777,38.3002,36.5727,34.8613,33.229,31.6828,30.1762,28.7293,27.3531,26.0053,24.7459,23.522,22.3489,21.2322,20.1851,19.1731,18.2037,17.2856,16.4242,15.6176,14.8474,14.1268,13.4317,12.7905,12.1695,11.5726,11.026,10.5494
"AUS","Australia",28.097,27.4882,26.828,26.1646,25.4424,24.8096,24.1915,23.6085,23.0548,22.5141,21.9846,21.4343,20.9142,20.4372,20.0093,19.6677,19.42,19.2655,19.1681,19.0067,18.7126,18.3124,17.6705,16.8986,16.0154,15.0891,14.1789,13.3202,12.5721,11.9465,11.4167,11.0057,10.6691,10.3972,10.129,9.8815,9.5843,9.2625,8.9192,8.5108,8.0573,7.6086,7.1542,6.7908,6.4595,6.1992,5.9974,5.8658,5.7342,5.6219,5.5135,5.4114,5.3403,5.2769,5.2115,5.1224,4.9932,4.85,4.674,4.4836,4.2804,4.0876,3.9051,3.7461,3.6085,3.5056,3.427,3.3664,3.3136,3.2642
"AUT","Austria",74.4829,65.599,58.4803,53.1232,49.3851,46.9412,45.243,43.7825,42.1858,40.1156,37.6942,35.3046,33.2679,31.4489,29.8859,28.5747,27.3605,26.3749,25.7083,25.2904,25.0751,24.7986,24.2288,23.1926,21.654,19.8682,18.1847,16.7513,15.6038,14.7404,14.0396,13.3944,12.7411,12.125,11.5464,10.9479,10.3535,9.7507,9.1832,8.7683,8.4017,8.0124,7.5762,7.0679,6.5683,6.0651,5.6826,5.3757,5.1644,5.025,4.9327,4.8634,4.7775,4.6712,4.5385,4.3944,4.2593,4.1591,4.0737,3.9901,3.8935,3.775,3.6404,3.512,3.4117,3.3383,3.2852,3.2381,3.1897,3.129
