"ISO.Code","Country.Name","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5"
"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353.078,347.1277,341.2641,335.5662,329.9218,324.413,318.8151,313.2354,307.368,301.9471,296.0216,290.3658,284.3417,278.4128,272.3451,266.2972,259.99,253.5874,246.9819,240.3513,234.0331,227.4712,220.8958,214.2807,207.5466,200.9865,194.5064,188.1886,182.0315,176.0202,170.1581,164.7651,159.5713,154.5423,149.9856,145.5479,141.3244,137.0818,132.9103,128.751,124.5432,120.4087,116.1012,111.8465,107.6096,103.376,99.2586,95.2294,91.3239,87.5488,83.9946,80.482,77.1544,74,71.1062,68.4921,66.0755,63.8316
"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.4936,92.9734,85.9818,79.4936,73.5952,68.332,63.492,59.2261,55.5091,52.2464,49.2985,46.9087,44.8127,43.0159,41.4359,39.9721,38.625,37.2577,35.8925,34.4903,33.0749,31.6205,30.1334,28.6208,27.0891,25.5189,23.9126,22.2849,20.6496,19.0485,17.4623,15.9417,14.5698,13.3073,12.2232,11.3666,10.7508,10.3476,10.1872,10.184,10.2934,10.4713
"DZA","Algeria",NA,NA,NA,NA,245.4903,245.0224,244.7971,244.3905,243.6251,243.4601,243.4292,243.7609,244.6731,245.7458,246.8364,247.9746,248.8975,249.3131,248.4878,246.4393,242.7738,237.6731,231.2035,223.7206,215.2636,206.1498,196.4061,186.4476,175.894,164.7401,152.0836,137.4482,122.1216,106.7142,92.0652,79.7801,70.2786,63.2984,58.6431,55.6154,53.5848,52.1287,50.9472,49.7468,48.4865,47.2625,46.1431,45.0852,44.2962,43.4342,42.5437,41.6045,40.6576,38.8971,37.154,35.5003,33.8364,32.3567,30.8898,29.8854,28.8891,28.1171,27.5221,27.0862,26.8459,26.5627,26.2015,25.761,25.2057,24.6237
"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7388,18.7311,17.6473,16.7261,15.7761,14.9533,14.096,13.3362,12.5927,11.9126,11.2663,10.6628,10.0725,9.5689,9.0865,8.6004,8.1369,7.7324,7.371,7.0182,6.6417,6.3373,5.9935,5.6726,5.372,5.0711,4.8163,4.5344,4.3143,4.0811,3.8772,3.6978,3.5395,3.4043,3.2738
"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.2376,246.1347,243.2945,240.5028,238.2177,236.69,235.4068,234.5159,233.7099,233.2455,233.2605,233.1934,233.4801,233.5733,233.4187,232.7774,231.2261,228.4936,224.8181,220.3811,214.9444,208.6443,201.3273,193.3174,184.6442,175.0511,165.3078,155.6466,145.904,136.5748,127.7421,119.8157,112.1313,105.3685,99.6288,94.7003,90.4033,86.6683,83.521,80.4362
"ATG","Antigua and Barbuda",122.6178,120.2197,117.7644,115.1381,112.3545,109.447,106.4963,103.3457,99.7735,95.3713,90.0102,84.0156,77.4823,70.7532,64.1129,57.6478,51.6814,46.2698,41.5374,37.5038,34.1112,31.315,29.038,27.0812,25.4308,23.9016,22.4632,21.1063,19.8304,18.6666,17.6479,16.7628,16.0502,15.4983,15.0882,14.8295,14.7085,14.6885,14.771,14.9323,15.1891,15.5193,15.8911,16.2895,16.6809,17.0194,17.2672,17.3789,17.3246,17.1475,16.8305,16.4072,15.8873,15.3221,14.7048,14.0557,13.4144,12.7557,12.1172,11.4826,10.8903,10.2986,9.7533,9.2292,8.7773,8.3812,7.9942,7.678,7.3837,7.1045
"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2898,75.4469,74.6688,73.5534,72.0972,70.1125,67.3877,63.9549,59.761,55.1479,50.8532,46.85,43.2637,40.2155,37.6373,35.3297,33.7539,32.6611,32.1109,32.0033,31.8622,31.5529,30.954,30.0413,28.9686,27.8187,26.6177,25.513,24.4019,23.4297,22.4704,21.6534,20.8724,20.1109,19.3892,18.752,18.2173,17.7094,17.2627,16.8542,16.4234,15.8783,15.2235,14.5497,13.8679,13.2134,12.5764,11.9847,11.3777,10.8566,10.2636
"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8121,89.162,85.6956,82.3206,79.1578,76.1176,73.2018,70.3813,67.6907,65.1776,62.6693,60.3086,85.68,55.7591,53.4545,51.2867,49.1672,46.9623,44.8321,42.8232,40.8447,38.9614,37.1677,35.439,33.7601,32.1715,30.642,29.1539,27.7485,26.3918,25.1007,23.862,22.6787,21.5559,20.4548,19.4265,18.4673,17.5507,16.6928,15.8614,15.0753,14.3439,13.6315,12.9843
"AUS","Australia",34.9204,34.2788,33.5392,32.6723,31.8188,30.9595,30.185,29.482,28.8315,28.2063,27.5804,26.9815,26.3745,25.7851,25.2861,24.9067,24.6734,24.5403,24.4636,24.3523,24.0618,23.4944,22.7613,21.7967,20.6742,19.4378,18.194,17.0632,16.0749,15.235,14.5712,14.0252,13.6032,13.2544,12.9637,12.6288,12.2769,11.8698,11.384,10.8564,10.2756,9.6627,9.0998,8.558,8.1234,7.779,7.5195,7.2866,7.1238,6.9782,6.8356,6.7069,6.593,6.5093,6.419,6.2946,6.14,5.9439,5.7327,5.4972,5.2411,4.9696,4.7211,4.5027,4.3315,4.2038,4.1152,4.0484,3.9925,3.9287
"AUT","Austria",92.0046,81.6634,73.3661,67.0502,62.7413,59.7995,57.5094,55.4471,53.1868,50.5433,47.692,44.9334,42.3477,40.1367,38.286,36.717,35.4598,34.3726,33.531,33.102,32.8384,32.4832,31.7564,30.4633,28.4527,26.0743,23.7954,21.8998,20.3954,19.2621,18.3709,17.5399,16.6997,15.8323,14.9993,14.2022,13.3427,12.4558,11.689,11.0786,10.5999,10.1,9.4869,8.8382,8.1255,7.49,6.9407,6.5643,6.3066,6.1472,6.0487,5.96,5.8553,5.7216,5.5521,5.3729,5.2197,5.0965,4.9911,4.884,4.7631,4.6175,4.4467,4.2805,4.1518,4.0593,3.9893,3.9303,3.8676,3.798
