Type_MLT,Family,Type,Sex,E0,age,mxn,qxn,lxn,Lxn,dxn,Txn,sxn,exn,axn
UN,Chilean,UN Chilean,Female,20,0,0.39453,0.31400,100000,79590,31400,2000000,0.61733,20.00,0.350
UN,Chilean,UN Chilean,Female,20,1,0.07346,0.24530,68600,229076,16828,1920410,0.80199,27.99,1.307
UN,Chilean,UN Chilean,Female,20,5,0.01580,0.07557,51772,247547,3912,1691334,0.93965,32.67,2.108
UN,Chilean,UN Chilean,Female,20,10,0.01189,0.05780,47860,232608,2766,1443787,0.92383,30.17,2.581
UN,Chilean,UN Chilean,Female,20,15,0.02133,0.10164,45094,214890,4583,1211179,0.87505,26.86,2.692
UN,Chilean,UN Chilean,Female,20,20,0.03089,0.14339,40510,188039,5809,996289,0.85140,24.59,2.502
UN,Chilean,UN Chilean,Female,20,25,0.03295,0.15201,34702,160097,5275,808250,0.84294,23.29,2.458
UN,Chilean,UN Chilean,Female,20,30,0.03518,0.16132,29427,134953,4747,648153,0.83957,22.03,2.434
UN,Chilean,UN Chilean,Female,20,35,0.03437,0.15778,24680,113302,3894,513200,0.84631,20.79,2.407
UN,Chilean,UN Chilean,Female,20,40,0.03259,0.15032,20786,95889,3125,399898,0.84786,19.24,2.427
UN,Chilean,UN Chilean,Female,20,45,0.03398,0.15642,17661,81301,2763,304009,0.83532,17.21,2.464
UN,Chilean,UN Chilean,Female,20,50,0.03880,0.17684,14899,67912,2635,222708,0.80366,14.95,2.502
UN,Chilean,UN Chilean,Female,20,55,0.04948,0.22020,12264,54578,2701,154796,0.75445,12.62,2.504
UN,Chilean,UN Chilean,Female,20,60,0.06416,0.27625,9563,41176,2642,100218,0.68732,10.48,2.486
UN,Chilean,UN Chilean,Female,20,65,0.08708,0.35605,6922,28301,2464,59042,0.60446,8.53,2.441
UN,Chilean,UN Chilean,Female,20,70,0.11590,0.44485,4457,17107,1983,30741,0.50461,6.90,2.388
UN,Chilean,UN Chilean,Female,20,75,0.15901,0.55473,2474,8632,1373,13634,0.41065,5.51,2.276
UN,Chilean,UN Chilean,Female,20,80,0.19784,0.63656,1102,3545,701,5001,0.32213,4.54,2.200
UN,Chilean,UN Chilean,Female,20,85,0.25706,0.73308,400,1142,294,1457,0.23345,3.64,2.070
UN,Chilean,UN Chilean,Female,20,90,0.32647,0.81424,107,267,87,315,0.16144,2.94,1.922
UN,Chilean,UN Chilean,Female,20,95,0.40417,0.87607,20,43,17,48,0.10794,2.42,1.767
UN,Chilean,UN Chilean,Female,20,100,0.48689,0.91915,2,5,2,5,0.07112,2.03,1.614
UN,Chilean,UN Chilean,Female,20,105,0.57034,0.94714,0,0,0,0,0.04723,1.74,1.474
UN,Chilean,UN Chilean,Female,20,110,0.64997,0.96451,0,0,0,0,0.03230,1.53,1.355
UN,Chilean,UN Chilean,Female,20,115,0.72198,0.97508,0,0,0,0,0.02310,1.38,1.257
UN,Chilean,UN Chilean,Female,20,120,0.78389,0.98151,0,0,0,0,0.01743,1.27,1.182
UN,Chilean,UN Chilean,Female,20,125,0.83483,0.98548,0,0,0,0,0.01393,1.20,1.124
UN,Chilean,UN Chilean,Female,20,130,0.88265,1.00000,0,0,0,0,,1.13,1.133
UN,Chilean,UN Chilean,Female,21,0,0.38259,0.30639,100000,80084,30639,2100000,0.62758,21.00,0.350
UN,Chilean,UN Chilean,Female,21,1,0.06950,0.23417,69361,233706,16242,2019916,0.81148,29.12,1.307
UN,Chilean,UN Chilean,Female,21,5,0.01490,0.07140,53119,254633,3793,1786210,0.94299,33.63,2.110
UN,Chilean,UN Chilean,Female,21,10,0.01122,0.05461,49326,240116,2694,1531577,0.92802,31.05,2.582
UN,Chilean,UN Chilean,Female,21,15,0.02010,0.09605,46632,222832,4479,1291461,0.88180,27.69,2.694
UN,Chilean,UN Chilean,Female,21,20,0.02913,0.13578,42153,196494,5724,1068629,0.85904,25.35,2.506
