Name,Sex,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Burundi,male,   497,   479,   462,   446,   438,   435,   442,   450,   473,   480,   420,   365,   336,   315
Comoros,male,   533,   515,   490,   466,   440,   415,   379,   345,   316,   299,   296,   281,   260,   248
Djibouti,male,   471,   449,   424,   401,   369,   353,   332,   317,   320,   343,   348,   316,   281,   235
Eritrea,male,   552,   522,   484,   460,   445,   430,   420,   410,   400,   394,   411,   347,   311,   281
Ethiopia,male,   552,   522,   484,   460,   444,   435,   444,   417,   411,   416,   404,   328,   265,   240
Kenya,male,   461,   434,   402,   376,   347,   320,   298,   321,   408,   515,   524,   372,   312,   268
Madagascar,male,   515,   489,   461,   435,   407,   387,   381,   379,   349,   313,   291,   283,   257,   236
Malawi,male,   466,   456,   444,   433,   411,   393,   387,   420,   505,   600,   640,   538,   383,   331
Mauritius,male,   446,   410,   305,   271,   256,   325,   271,   268,   260,   247,   221,   211,   198,   190
Mayotte,male,   465,   440,   402,   366,   333,   302,   274,   248,   224,   202,   182,   163,   144,   144
Mozambique,male,   535,   500,   469,   457,   433,   399,   415,   426,   414,   458,   491,   525,   506,   396
RŽunion,male,   465,   440,   402,   366,   333,   302,   274,   248,   224,   202,   182,   163,   144,   120
Rwanda,male,   485,   469,   448,   439,   434,   420,   381,   407,   689,   484,   435,   307,   248,   220
Seychelles,male,   269,   257,   252,   251,   245,   234,   235,   260,   282,   273,   245,   216,   205,   203
Somalia,male,   555,   532,   508,   485,   463,   442,   424,   416,   436,   393,   379,   362,   350,   328
South Sudan,male,   630,   596,   570,   544,   522,   498,   489,   463,   425,   405,   401,   390,   377,   354
Uganda,male,   485,   455,   424,   396,   385,   384,   399,   503,   627,   652,   559,   429,   350,   307
United Republic of Tanzania,male,   472,   452,   438,   421,   402,   382,   382,   406,   463,   499,   479,   414,   343,   253
Zambia,male,   461,   438,   416,   399,   378,   370,   350,   347,   510,   632,   615,   532,   380,   325
Zimbabwe,male,   393,   373,   355,   338,   323,   303,   285,   349,   527,   696,   753,   711,   449,   377
Angola,male,   526,   517,   503,   486,   468,   452,   442,   437,   446,   451,   436,   398,   350,   331
Cameroon,male,   500,   477,   452,   428,   403,   378,   359,   346,   367,   413,   420,   384,   358,   321
